title,appId,cluster,cluster_size,facebook_bart-large-mnli,roberta-large-mnli,distilbert-base-uncased-finetuned-sst-2-english,valhalla_distilbart-mnli-12-9
"klarify: Pollen app, Hay fever",me.klarify.klara,0,485,0.6332324147224426,0.3831806778907776,0.9489591121673584,0.6807999610900879
Donny Degu,com.nquinn.degudynamo,0,485,0.6406856775283813,0.7631974816322327,0.9995775818824768,0.4882539212703705
Sea of Lies: Leviathan Reef - Hidden Objects,com.bigfishgames.sllraapluniversalfree,0,485,0.6846268773078918,0.5134598612785339,0.9777532815933228,0.5184202194213867
Lawn Grass Master Cutting Game,com.turbogames.lawn.grass.master.cutting.game,0,485,0.6336000561714172,0.5258740782737732,0.9997135996818542,0.49869415163993835
FarmersMarketHaul,com.app.SimplyLocalMobile,0,485,0.6537213325500488,0.5972707867622375,0.9994122982025146,0.4825180470943451
MyChronicApp,com.informative.MyChronic,0,485,0.6575066447257996,0.7028080821037292,0.9949559569358826,0.5840408802032471
Photo Collage Maker・Pic Layout,collagemaker.app,0,485,0.6516111493110657,0.5699813961982727,0.9994924068450928,0.4905115067958832
Herbs Guide,com.ceardannan.classes.spices,0,485,0.6079503297805786,0.9414617419242859,0.999363124370575,0.5399985909461975
Reaction FCE,com.feelthereactionapp,0,485,0.6736818552017212,0.7696543335914612,0.8726043105125427,0.7597722411155701
Zohoor,co.snaptec.zohoor,0,485,0.6180448532104492,0.6034576296806335,0.999669075012207,0.5153929591178894
Cougar: Dating Mature Women,com.cougardating.app,1,211,0.4974890649318695,0.5190677046775818,0.04168945550918579,0.23570038378238678
BirdieBud - Golf Swing Coach,com.corusen.igolf,1,211,0.4488177001476288,0.5490968227386475,0.009066224098205566,0.47122564911842346
No Crop Insta Size Fit CropNil,com.appkruti.nocrop,1,211,0.6299934387207031,0.5306186079978943,0.12160438299179077,0.4089954197406769
MedidexConnect Pharmacist Chat,io.medidex.MedidexConnect,1,211,0.3959684371948242,0.5252864360809326,0.05675816535949707,0.17205539345741272
GOLD 2021 Pocket Guide,org.goldcopd2020.pocketguide,1,211,0.43138307332992554,0.5125482082366943,0.027788519859313965,0.3052639365196228
HappyGrass Prairies,io.cordova.grassman,1,211,0.5948007702827454,0.566133975982666,0.0348164439201355,0.39455482363700867
tbh - Tambola Bingo Housie,com.sgprogrammers.sgbingo,1,211,0.26851192116737366,0.5296390652656555,0.004873037338256836,0.5571855306625366
Air Finder & Device Tracker,com.alex.airfinder,1,211,0.6329529285430908,0.6410315632820129,0.002467513084411621,0.37068256735801697
Plant Finder Tree identifer,com.landuyen.leaf.snap.plant.identifier,1,211,0.49721580743789673,0.5636071562767029,0.4228290915489197,0.46827447414398193
Snorkel Fish Hawaii for iPhone,com.john.HawaiiFishIDApp2017.snorkelfish,1,211,0.4032749533653259,0.5119422078132629,0.0997154712677002,0.3505490720272064
Marjin,com.sgp.marjin,2,357,0.9828697443008423,0.9972259402275085,0.99246746301651,0.974944531917572
The Marijuana Times,org.marijuanatimes,2,357,0.7899546027183533,0.955848217010498,0.9878395199775696,0.6223031282424927
Good Vibes Herb Nerd Pro,A227C6X7TJ.com.good.vibes.herb.nerd.pro,2,357,0.8282933235168457,0.7524611949920654,0.9972767233848572,0.8563799858093262
Bud Barn,com.springbig.LoyaltyHub.budbarnLacey,2,357,0.8946021199226379,0.9965266585350037,0.9924100637435913,0.9054058194160461
Quincy Cannabis Co.,com.dopeapps.quincy,2,357,0.9305504560470581,0.9642590284347534,0.996613085269928,0.8577809929847717
Boston Hemp VIP App,com.ios.BostonHempVIP,2,357,0.9800085425376892,0.9962849020957947,0.9991528987884521,0.989857017993927
Quit Weed Marijuana Addiction,com.NoMarijuanaCalendar.scope,2,357,0.9553850889205933,0.6296511292457581,0.9927226901054382,0.9620850086212158
AYR Dispensary Pennsylvania,com.ayrdispensarypennsylvania.wallet,2,357,0.9551478624343872,0.9917516112327576,0.9960228204727173,0.972818911075592
Weed Farm: Drug Dealer Games,com.weed.bud.farm.drug.mart,2,357,0.9521568417549133,0.7876365184783936,0.9992958307266235,0.961349606513977
Leafbuyer,com.leafbuyer.app,2,357,0.9889206886291504,0.9464758038520813,0.9935330152511597,0.9924313426017761
Lawn Tracker,Bangs.Greenlawn,3,142,0.5916308164596558,0.6722306609153748,0.18992120027542114,0.5635724067687988
Bearable - Symptom Tracker,co.codeleap.bearable,3,142,0.5643016695976257,0.5271077752113342,0.10694342851638794,0.569985568523407
WSFA First Alert Weather,com.raycommedia.wsfa.wsi,3,142,0.5863068103790283,0.4324268102645874,0.06075906753540039,0.6010537147521973
Plant Problem Identifier,com.UladzislauYanushka.PlantIdentification,3,142,0.7472472786903381,0.4538002908229828,0.02223825454711914,0.7964063882827759
myAI®,com.aquaillumination.aidirector,3,142,0.7298529148101807,0.5529493093490601,0.12073326110839844,0.5629464983940125
