title,appId,cluster,cluster_size,facebook_bart-large-mnli,roberta-large-mnli,distilbert-base-uncased-finetuned-sst-2-english,valhalla_distilbart-mnli-12-9
ARFF QR,com.arff.aqr,0,297,0.589752197265625,0.3805975615978241,0.056114375591278076,0.40949177742004395
Dostyq - control your bonuses.,app.dostyq,0,297,0.6468116044998169,0.8055064678192139,0.028540730476379395,0.40941736102104187
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,0,297,0.4918692111968994,0.547020673751831,0.0007399916648864746,0.3737092614173889
FRR - for beredskapsressurser,com.barentswatch.frrapp,0,297,0.3976998031139374,0.6197016835212708,0.019414246082305908,0.3750278651714325
MyChart,epic.mychart.android,0,297,0.5738500952720642,0.525051474571228,0.020807266235351562,0.5891486406326294
Gacha Life,air.com.lunime.gachalife,0,297,0.6536408066749573,0.5492798089981079,0.045340657234191895,0.4508163332939148
PandwaRF Marauder,com.comthings.pandwarf.marauder,0,297,0.5368170738220215,0.7265620231628418,0.022945404052734375,0.48019853234291077
Doft Load Board & Truck Loads,com.doft.android.carrier,0,297,0.4610210061073303,0.4476357698440552,0.13093090057373047,0.3819301724433899
Atlas Earth - Buy Virtual Land,ci.atlasearth.client,0,297,0.579554557800293,0.5217584371566772,0.016797363758087158,0.27316808700561523
REEF OS Driver,com.av.ol,0,297,0.44214725494384766,0.525050699710846,0.03801184892654419,0.6470270752906799
"Aura: Meditation & Sleep, CBT",com.aurahealth,1,534,0.8286783695220947,0.5440417528152466,0.9957861304283142,0.9128478765487671
Binance: Buy Bitcoin & Crypto,com.binance.dev,1,534,0.6975917816162109,0.5239186882972717,0.981195330619812,0.7393180131912231
CodyCross: Crossword Puzzles,com.fanatee.cody,1,534,0.4586053788661957,0.5227822065353394,0.9995278120040894,0.7692325115203857
Smart Reef,com.reeffactory.smartreef,1,534,0.639305055141449,0.5972506403923035,0.9979196190834045,0.5971190929412842
Purple Neon Weed Keyboard Back,com.ikeyboard.theme.purple.neon.weed,1,534,0.8702519536018372,0.553658664226532,0.9962865114212036,0.9140434265136719
Akshayakalpa Organic Milk,com.mrmilkman.akshayakalpa,1,534,0.8145022392272949,0.5674627423286438,0.9969269633293152,0.9034397602081299
Zips Cannabis,com.app.zipsloyalty,1,534,0.7405663132667542,0.6965493559837341,0.9901440143585205,0.5328152775764465
Stonies,com.upjers.stonies,1,534,0.7051547765731812,0.3866637349128723,0.9995806813240051,0.5154330730438232
Idle Mental Hospital Tycoon,com.wa.idle.mentalhospital,1,534,0.7270686626434326,0.6479145288467407,0.9970421195030212,0.5926952362060547
The Godfather: Family Dynasty,com.dipan.feelingtouch.godfather,1,534,0.630285382270813,0.5338950157165527,0.9982506632804871,0.6816075444221497
Quit Weed,com.michaljanecek.quitweed,2,205,0.9284757375717163,0.7691677212715149,0.9940420985221863,0.9520438313484192
releaf marijuana tracking,com.releafapp.releaf,2,205,0.9790104031562805,0.807295024394989,0.9933310151100159,0.9672227501869202
Lone Peak Cannabis Co.,com.lonepeakcannabisco.wallet,2,205,0.9862506985664368,0.9421736598014832,0.9965934157371521,0.9842663407325745
High Tide: Weed Game,com.hazyarts.weed.hightide,2,205,0.972910463809967,0.9454993009567261,0.995274543762207,0.9427512884140015
House of Dank Michigan,com.houseofdank.wallet,2,205,0.9766232371330261,0.8984372615814209,0.9985615611076355,0.9805444478988647
Lidz Cannabis,com.dopeapps.lidzcannabis,2,205,0.8323572278022766,0.9759219884872437,0.998838484287262,0.8112192749977112
Weed Farm - Idle Tycoon Games,com.cupcake.idle.weed.farm.tycoon.bud.hemp.clicker.empire.games,2,205,0.9729419350624084,0.917331337928772,0.9916287660598755,0.9907969236373901
Weed Skull Wallpapers HD,com.newandromo.dev12540.app2692436,2,205,0.9875279068946838,0.986509382724762,0.9988699555397034,0.9880865812301636
Cloud Nine Cannabis,com.thestrainapp.cloud_nine,2,205,0.9755529165267944,0.996314287185669,0.9966607093811035,0.9791093468666077
PENAWAR HERBAL MEDICINE USER,com.mycompany.phm3,2,205,0.7740467190742493,0.9602313041687012,0.999678373336792,0.7445712089538574
"PayPal - Pay, Send, Save",com.paypal.android.p2pmobile,3,127,0.648993730545044,0.5669452548027039,0.012324690818786621,0.7025944590568542
Avatar Life - Love Metaverse,com.xp101.ava_rus,3,127,0.6634941697120667,0.5411662459373474,0.25738757848739624,0.5172585844993591
Blink Home Monitor,com.immediasemi.android.blink,3,127,0.7182350754737854,0.5718939304351807,0.04249382019042969,0.6020276546478271
Joint Academy,ai.arthro.us.jointacademy,3,127,0.6198944449424744,0.49298664927482605,0.2588314414024353,0.49118486046791077
Alarmy - Alarm Clock & Sleep,droom.sleepIfUCan,3,127,0.767397940158844,0.5092542767524719,0.01734459400177002,0.7062358856201172
heyOBI: DIY-Projekte mit OBI,de.obi.app,3,127,0.6432743072509766,0.5182044506072998,0.3317241072654724,0.6944359540939331
THE DOPE SHOP,com.selloship.thedopeshop,3,127,0.6780118942260742,0.5763733386993408,0.29062706232070923,0.7276812195777893
جاب ویژن: استخدام | کاریابی,com.jobvision.app,3,127,0.6279662251472473,0.5156333446502686,0.23010331392288208,0.78704833984375
ibis Paint X,jp.ne.ibis.ibispaintx.app,3,127,0.7483406662940979,0.5187506675720215,0.10228055715560913,0.7199781537055969
"Cara Care: FODMAP, IBD, IBS Tr",com.gohidoc.cara,3,127,0.7111817598342896,0.5361130237579346,0.009080290794372559,0.8128798604011536
Weedmaps: Buy Local Weed,com.weedmaps.app.android,4,58,0.9613208770751953,0.8875983357429504,0.4851539731025696,0.8190888166427612
GrowDoc: Cannabis Plant Doctor,com.growdoc.growdocnew,4,58,0.8280361294746399,0.8091461658477783,0.07483285665512085,0.836236298084259
"Revolut: Spend, Save, Trade",com.revolut.revolut,4,58,0.94017094373703,0.5185226798057556,0.00628054141998291,0.8320763111114502
Stop-cannabis,ch.unige.stopcannabis,4,58,0.968528151512146,0.9453192949295044,0.146107017993927,0.9815933704376221
Celcius-Shipper,com.app.celcius_customer,4,58,0.6039162278175354,0.9553587436676025,0.006308317184448242,0.6977829337120056
Resep Herba HNI,com.yanuarhpai.resepherbahpai,4,58,0.8740395903587341,0.8536529541015625,0.023703932762145996,0.8695089221000671
Norton360 Antivirus & Security,com.symantec.mobilesecurity,4,58,0.9282820820808411,0.5263606905937195,0.05199134349822998,0.8666887283325195
Zahara Cannabis,com.zaharacannabis.wallet,4,58,0.8451467156410217,0.9844198226928711,0.02000880241394043,0.7884935140609741
ReederIK,com.reeder.ik,4,58,0.8420768976211548,0.5639599561691284,0.017567813396453857,0.849368691444397
Marijuana Lunar Calendar,com.epev.lunarcalendar,4,58,0.9739640355110168,0.7359187602996826,0.03359311819076538,0.9766272902488708
The Herbal Chicken,com.villageherb.daily,5,831,0.6058942675590515,0.5586363077163696,0.9981098175048828,0.5167151093482971
Idle Pirate Tycoon,com.twindeerarts.idlepiratetycoon,5,831,0.5477043390274048,0.5507410168647766,0.9979704022407532,0.37733933329582214
Harmony - Self Hypnosis,com.app.relaxcompletely,5,831,0.3464612662792206,0.5054298043251038,0.9992119073867798,0.4918347895145416
Indian Herbs Online,com.indianherbsonline.android,5,831,0.5757656097412109,0.9269039034843445,0.9997467398643494,0.4067760407924652
99 - Private Driver and Taxi,com.taxis99,5,831,0.6501855850219727,0.5372138023376465,0.9983552098274231,0.472820520401001
Lawn Mower - Mowing Games,com.giantfish.lawn.mowing.simulator,5,831,0.46525561809539795,0.5136203169822693,0.9985159039497375,0.45394691824913025
Hemfrid,com.hemfrid,5,831,0.5747777819633484,0.5124362111091614,0.9993348717689514,0.5274221897125244
Wedding Games Planner & Design,com.birdsgamestudio.weddingmatch,5,831,0.6676816344261169,0.5320245623588562,0.9981332421302795,0.4879781901836395
Kyan Health App,com.kyanhealth.app,5,831,0.41844502091407776,0.530106246471405,0.9932861924171448,0.5560552477836609
Al Saeed For Herbs & Spices,io.onemobile.alsaeedforherbandspice,5,831,0.5578489899635315,0.8659569621086121,0.9998455047607422,0.42250651121139526
