appId,title,clusterLabel,clusterWeight,facebook_bart-large-mnli,roberta-large-mnli,valhalla_distilbart-mnli-12-9,cannabis,marijuana,hemp,weed,dispensary,cannabis_related
com.aksonov.PS,Positive Singles®: Herpes Date,0,0.4328287606,0.4252358675,0.5129770637,0.4024631083,0,0,0,0,0,0
com.volutopia.forgeofneon3d,Forge of Neon - 3D Sandbox Art,0,0.4328287606,0.5322188139,0.6510050893,0.4742735624,0,0,0,0,0,0
com.gzwegame.raiden,Galaxy Thunder: Space Invasion,0,0.4328287606,0.5301511288,0.4716171324,0.4058499932,0,0,0,0,0,0
com.fish.tankaddict,Reef Tank Addict,0,0.4328287606,0.3680267632,0.56890047,0.5464910269,0,0,0,0,0,0
com.chaostheorygames.bleachedaz,Bleached Az,0,0.4328287606,0.31652987,0.5477800369,0.3632723391,0,0,0,0,0,0
com.thenaturalherbs.healthcareshop,The Natural Herbs,0,0.4328287606,0.5240921974,0.5588679314,0.3539219797,0,0,0,0,0,0
com.macmillan.iclickercloudmobile,iClicker Instructor Remote,0,0.4328287606,0.5581408739,0.4744724035,0.487645179,0,0,0,0,0,0
Trabal.RainSound,Raindrops: Rain Sounds BGM,0,0.4328287606,0.4303138852,0.487020582,0.4559841752,0,0,0,0,0,0
com.givingtreedispensary.wallet,Giving Tree Dispensary,1,0.05534532,0.9890742302,0.9982725382,0.9911928773,1,1,0,0,2,1
com.cinder.cinder-cannabis,Cinder - Cannabis Redefined,1,0.05534532,0.9926649332,0.9817259312,0.9928846955,5,0,0,1,1,1
com.jane.jane-native-app,Jane: Find Cannabis Products,1,0.05534532,0.9724752307,0.95241487,0.9709753394,14,0,0,0,3,1
com.sunrisedispensary.wallet,Sunrise Dispensary,1,0.05534532,0.99484491,0.9987145662,0.9961127043,1,0,0,0,2,1
com.lenoxhillcannabis.catalog,Lenox Hill Cannabis,1,0.05534532,0.9966312051,0.9921586514,0.9970261455,1,0,0,0,1,1
com.livcannabislivcannaco.wallet,Highly Loyal Club,1,0.05534532,0.9895185232,0.84668392,0.9840865731,6,0,0,0,2,1
com.cureoahu.wallet,Cure Oahu,1,0.05534532,0.9834374785,0.9973244071,0.98839402,2,1,0,0,1,1
