appId,title,clusterLabel,clusterWeight,facebook_bart-large-mnli,roberta-large-mnli,valhalla_distilbart-mnli-12-9,cannabis,marijuana,hemp,weed,dispensary
com.aksonov.PS,Positive Singles®: Herpes Date,0,0.4328287606433302,0.4252358675003052,0.5129770636558533,0.4024631083011627,0,0,0,0,0
com.volutopia.forgeofneon3d,Forge of Neon - 3D Sandbox Art,0,0.4328287606433302,0.5322188138961792,0.6510050892829895,0.47427356243133545,0,0,0,0,0
com.gzwegame.raiden,Galaxy Thunder: Space Invasion,0,0.4328287606433302,0.5301511287689209,0.4716171324253082,0.40584999322891235,0,0,0,0,0
com.fish.tankaddict,Reef Tank Addict,0,0.4328287606433302,0.3680267632007599,0.568900465965271,0.5464910268783569,0,0,0,0,0
com.chaostheorygames.bleachedaz,Bleached Az,0,0.4328287606433302,0.31652987003326416,0.5477800369262695,0.3632723391056061,0,0,0,0,0
com.thenaturalherbs.healthcareshop,The Natural Herbs,0,0.4328287606433302,0.5240921974182129,0.5588679313659668,0.3539219796657562,0,0,0,0,0
com.macmillan.iclickercloudmobile,iClicker Instructor Remote,0,0.4328287606433302,0.5581408739089966,0.47447240352630615,0.4876451790332794,0,0,0,0,0
Trabal.RainSound,Raindrops: Rain Sounds BGM,0,0.4328287606433302,0.4303138852119446,0.4870205819606781,0.4559841752052307,0,0,0,0,0
com.givingtreedispensary.wallet,Giving Tree Dispensary,1,0.05534531693472091,0.9890742301940918,0.9982725381851196,0.9911928772926331,1,1,0,0,2
com.cinder.cinder-cannabis,Cinder - Cannabis Redefined,1,0.05534531693472091,0.9926649332046509,0.9817259311676025,0.9928846955299377,5,0,0,1,1
com.jane.jane-native-app,Jane: Find Cannabis Products,1,0.05534531693472091,0.9724752306938171,0.952414870262146,0.9709753394126892,14,0,0,0,3
com.sunrisedispensary.wallet,Sunrise Dispensary,1,0.05534531693472091,0.994844913482666,0.9987145662307739,0.9961127042770386,1,0,0,0,2
com.lenoxhillcannabis.catalog,Lenox Hill Cannabis,1,0.05534531693472091,0.9966312050819397,0.9921586513519287,0.9970261454582214,1,0,0,0,1
